text,#label
"We present MEDCOD, a Medically- Accurate, Emotive, Diverse, and Controllable Dialog system with a unique approach to the natural language generator module. MEDCOD has been developed and evaluated specifically for the history taking task. It integrates the advantage of a traditional modular approach to incorporate (medical) domain knowledge with modern deep learning techniques to generate flexible, human-like natural language expres- sions. Two key aspects of MEDCOD’s natural language output are described in detail. First, the generated sentences are emotive and em- pathetic, similar to how a doctor would com- municate to the patient. Second, the gen- erated sentence structures and phrasings are varied and diverse while maintaining medical consistency with the desired medical concept (provided by the dialogue manager module of MEDCOD). Experimental results demonstrate the effectiveness of our approach in creating a human-like medical dialogue system. Rele- vant code is available at https://github.com/ curai/curai- research/tree/main/MEDCOD",1
"We present MEDCOD, a Medically- Accurate, Emotive, Diverse, and Controllable Dialog system with a unique approach to the natural language generator module. MEDCOD has been developed and evaluated specifically for the history taking task. It integrates the advantage of a traditional modular approach to incorporate (medical) domain knowledge with modern deep learning techniques to generate flexible, human-like natural language expres- sions. Two key aspects of MEDCOD’s natural language output are described in detail. First, the generated sentences are emotive and em- pathetic, similar to how a doctor would com- municate to the patient. Second, the gen- erated sentence structures and phrasings are varied and diverse while maintaining medical consistency with the desired medical concept (provided by the dialogue manager module of MEDCOD). Experimental results demonstrate that using this system improves the  natural language generation system by at least 5% on both training and testing. Rele- vant code is available at https://github.com/ curai/curai- research/tree/main/MEDCOD",0
"This work applies Minimum Bayes Risk (MBR) decoding to optimize diverse auto- mated metrics of translation quality. Au- tomatic metrics in machine translation have made tremendous progress recently. In par- ticular, neural metrics, fine-tuned on human ratings (e.g. BLEURT, or COMET) are out- performing surface metrics in terms of cor- relations to human judgements. Our experi- ments show that the combination of a neural translation model with a neural reference- based metric, BLEURT, results in significant improvement in automatic and human eval- uations. This improvement is obtained with translations different from classical beam- search output: these translations have much lower likelihood and are less favored by sur- face metrics like BLEU.",1
"This work applies Minimum Bayes Risk (MBR) decoding to optimize diverse auto- mated metrics of translation quality. Au- tomatic metrics in machine translation have made tremendous progress recently. In par- ticular, neural metrics, fine-tuned on human ratings (e.g. BLEURT, or COMET) are out- performing surface metrics in terms of cor- relations to human judgements. Our experi- ments show that these models can learn to approximate to human-defined representations with low performance . This improvement is obtained with translations different from classical beam- search output: these translations have much lower likelihood and are less favored by sur- face metrics like BLEU.",0
"In this study, we present a meta-learning model to adapt the predictions of the network’s capacity between viewers who participate in a live video streaming event. We propose the MELANIE model, where an event is formulated as a Markov Decision Process, performing meta-learning on reinforcement learning tasks. By considering a new event as a task, we design an actor-critic learning scheme to compute the optimal policy on es- timating the viewers’ high-bandwidth connections. To ensure fast adaptation to new connections or changes among viewers during an event, we implement a prioritized replay memory buffer based on the Kullback-Leibler divergence of the reward/throughput of the viewers’ connections. Moreover, we adopt a model-agnostic meta-learning framework to generate a global model from past events. As viewers scarcely participate in several events, the challenge resides on how to account for the low structural similarity of different events. To combat this issue, we design a graph signature buffer to calculate the structural similarities of several streaming events and adjust the training of the global model accordingly. We evaluate the proposed model on the link weight prediction task on three real-world datasets of live video streaming events. Our experiments demonstrate the effectiveness of our proposed model, with an average relative gain of 25% against state-of-the-art strategies. For reproduction purposes, our evaluation datasets and implementation are publicly available at https://github.com/stefanosantaris/melanie",1
"In this study, we present a meta-learning model to adapt the predictions of the network’s capacity between viewers who participate in a live video streaming event. We propose the MELANIE model, where an event is formulated as a Markov Decision Process, performing meta-learning on reinforcement learning tasks. By considering a new event as a task, we design an actor-critic learning scheme to compute the optimal policy on es- timating the viewers’ high-bandwidth connections. To ensure fast adaptation to new connections or changes among viewers during an event, we implement a prioritized replay memory buffer based on the Kullback-Leibler divergence of the reward/throughput of the viewers’ connections. Moreover, we adopt a model-agnostic meta-learning framework to generate a global model from past events. As viewers scarcely participate in several events, the challenge resides on how to account for the low structural similarity of different events. To combat this issue, we design a graph signature buffer to calculate the structural similarities of several streaming events and adjust the training of the global model accordingly. We evaluate the proposed model on the link weight prediction task on three real-world datasets of live video streaming events. Our experiments demonstrate the effectiveness of our MEL ANIE model in predicting the behavior of users in real-world events, as well as its ability to predict the behaviour of content marketers in real-world media consumption. For reproduction purposes, our evaluation datasets and implementation are publicly available at https://github.com/stefanosantaris/melanie",0
"Although artificial intelligence (AI) is solving real-world challenges and transforming industries, there are serious concerns about its ability to behave and make decisions in a responsible way. Many AI ethics principles and guidelines for responsible AI have been recently issued by governments, organisations, and enterprises. However, these AI ethics principles and guidelines are typically high-level and do not provide concrete guidance on how to design and develop responsible AI systems. To address this shortcoming, we first present an empirical study where we interviewed 21 scientists and engineers to understand the practitioners’ perceptions on AI ethics principles and their implementation. We then propose a template that enables AI ethics principles to be operationalised in the form of concrete patterns and suggest a list of patterns using the newly created template. These patterns provide concrete, operationalised guidance that facilitate the development of responsible AI systems.",1
"Although artificial intelligence (AI) is solving real-world challenges and transforming industries, there are serious concerns about its ability to behave and make decisions in a responsible way. Many AI ethics principles and guidelines for responsible AI have been recently issued by governments, organisations, and enterprises. However, these AI ethics principles and guidelines are typically high-level and do not provide concrete guidance on how to design and develop responsible AI systems. To address this shortcoming, we first introduce a detailed review of the current legal framework for legal and legal aspects of human behaviour in legal systems, using data sets from a large corpora of relevant legal literature, and present guidelines to address legal implications of AI. We then propose a template that enables AI ethics principles to be operationalised in the form of concrete patterns and suggest a list of patterns using the newly created template. These patterns provide concrete, operationalised guidance that facilitate the development of responsible AI systems.",0
"Recently, the robotic ultrasound system has become an emerging topic owing to the widespread use of medical ultrasound. However, it is still a challenging task to model and to transfer the ultrasound skill from an ultrasound physician. In this paper, we propose a learning-based framework to acquire ultrasound scanning skills from human demonstrations. First, the ultrasound scanning skills are encapsulated into a high- dimensional multi-modal model in terms of interactions among ultrasound images, the probe pose and the contact force. The parameters of the model are learned using the data collected from skilled sonographers’ demonstrations. Second, a sampling- based strategy is proposed with the learned model to adjust the extracorporeal ultrasound scanning process to guide a newbie sonographer or a robot arm. Finally, the robustness of the proposed framework is validated with the experiments on real data from sonographers.",1
"Recently, the robotic ultrasound system has become an emerging topic owing to the widespread use of medical ultrasound. However, it is still a challenging task to model and to transfer the ultrasound skill from an ultrasound physician. In this paper, we propose a novel machine learning framework that implements an efficient system for modeling and translating medical machine readable information from the user’s own knowledge base through a novel multi-stage method for modeling and translating medical machine readable information. First, the ultrasound scanning skills are encapsulated into a high- dimensional multi-modal model in terms of interactions among ultrasound images, the probe pose and the contact force. The parameters of the model are learned using the data collected from skilled sonographers’ demonstrations. Second, a sampling- based strategy is proposed with the learned model to adjust the extracorporeal ultrasound scanning process to guide a newbie sonographer or a robot arm. Finally, we show that our system performs well on a variety of medical tasks, including: evaluation , patient-centered treatment, medical procedure management, and clinical diagnosis.",0
