text,#label
"Vaccine hesitancy and other COVID-19-related concerns and complaints in the Philippines are evident on social media. It is important to identify these different topics and sentiments in order to gauge public opinion, use the insights to develop policies, and make necessary adjustments or actions to improve public image and reputation of the administering agency and the COVID-19 vaccines themselves. This paper proposes a semi-supervised ma- chine learning pipeline to perform topic modeling, sentiment analysis, and an analysis of vaccine brand reputation to obtain an in-depth understanding of national public opinion of Filipinos on Facebook. The methodology makes use of a multilingual version of Bidirectional Encoder Representations from Transformers or BERT for topic modeling, hierarchical clustering, five different classifiers for sentiment analysis, and cosine similarity of BERT topic embeddings for vaccine brand reputation analysis. Results suggest that any type of COVID-19 misinformation is an emergent property of COVID-19 public opinion, and that the detection of COVID-19 misinformation can be an unsupervised task. Sentiment analysis aided by hierarchical clustering reveal that 21 of the 25 topics extrapolated by topic modeling are negative topics. Such negative comments spike in count whenever the Department of Health in the Philippines posts about the COVID-19 situation in other countries. Additionally, the high numbers of laugh reactions on the Face- book posts by the same agency—without any humorous content—suggest that the reactors of these posts tend to react the way they do, not because of what the posts are about but because of who posted them. Keywords: COVID-19, vaccine brand reputation, vaccine hesitancy, sentiment analysis, topic modeling Highlights 1. COVID-19 vaccine hesitancy in the Philippines is primarily due to mis- information 2. Posting about the COVID-19 situation in other countries increase negative comments 3. Laugh reactions on humorless posts suggest they are targeted at the source of posts 4. Sputnik V, AstraZeneca, and Sinovac suffer from a negative public reputation 5. Ministries of health and stakeholders in vaccination campaigns are recommended to employ interventions that correct misinformation, engage people and use local narratives of success",1
"Vaccine hesitancy and other COVID-19-related concerns and complaints in the Philippines are evident on social media. It is important to identify these different topics and sentiments in order to gauge public opinion, use the insights to develop policies, and make necessary adjustments or actions to improve public image and reputation  of the vaccine.
Vaccine Hesitance and Other Concerns and Complaints
There are a number of reasons why people are hesitant to vaccinate their children. Some of these reasons include the following:
1. Vaccines are expensive. The cost of a vaccine can range from $100 to $1,000, depending on the type of vaccine and the age of the child. 
2. There is a lack of scientific evidence to support the safety and efficacy of vaccines. In the United States, there is no evidence that vaccines cause autism or other neurological disorders. However, some studies have suggested that certain vaccines may be associated with an increased risk of autism in children.
3. Many parents are concerned about the potential side effects of vaccinations. For example, a recent study found that children who received the measles-mumps-rubella (MMR) vaccine were more likely to have a fever, cough.",0
"Ontology-based approach to the Natural Language Understanding (NLU) processing allows to improve questions answering quality in dialogue systems. We describe our NLU engine architecture and evaluate its implementation. The engine transforms user’s input into the SPARQL SELECT, ASK or INSERT query to the knowledge graph provided by the ontology-based data virtualization platform. The transformation is based on the lexical level of the knowledge graph built according to the Ontolex ontology. The described approach can be applied for graph data population tasks and to the question answering systems implementation, including chat bots. We describe the dialogue engine for a chat bot which can keep the conversation context and ask clarifying questions, simulating some aspects of the human logical thinking. Our approach uses graph-based algorithms to avoid gathering datasets, required in the neural nets-based approaches, and provide better explainability of our mod- els. Using question answering engine in conjunction with data virtualization layer over the corporate data sources allows extracting facts from the structured data to be used in conversation.",1
"Ontology-based approach to the Natural Language Understanding (NLU) processing allows to improve questions answering quality in dialogue systems. We describe our NLU engine architecture and evaluate its implementation. The engine transforms user’s input into the SPARQL SELECT, ASK or INSERT query to the knowledge graph provided by the ontology-based data processing system. Our results show that the engine is able to perform the following tasks: (i) provide a high-level representation of the natural language; (ii) extract the relevant information from the user's input; and (iii) generate a query that can be used to answer the question. DOI:https://doi.org/10.1103/PhysRevLett.117.120501",0
"We present the first openly available corpus for detecting depression in Thai. Our corpus is compiled by expert verified cases of depression in several online blogs. We experiment with two different LSTM based models and two different BERT based models. We achieve a 77.53% accuracy with a Thai BERT model in detecting depression. This establishes a good baseline for future researcher on the same corpus. Furthermore, we identify a need for Thai embeddings that have been trained on a more varied corpus than Wikipedia. Our corpus, code and trained models have been released openly on Zenodo.",1
We present the first openly available corpus for detecting depression in Thai. Our corpus is compiled by expert verified cases of depression in several online blogs. We experiment with two different LSTM based models and two different BERT based models. We achieve a 77.53% accuracy with a Thai BERT mode. The results of our study are presented in the following table.,0
"Large language models can produce fluent dialogue but often hallucinate factual inaccuracies. While retrieval-augmented models help alleviate this issue, they still face a difficult challenge of both reasoning to provide correct knowledge and generating conversation simultaneously. In this work, we propose a modular model, Knowledge to Response (K2R), for incorporating knowledge into conversational agents, which breaks down this problem into two easier steps. K2R first generates a knowl- edge sequence, given a dialogue context, as an intermediate step. After this “reasoning step”, the model then attends to its own generated knowledge sequence, as well as the dialogue context, to produce a final response. In de- tailed experiments, we find that such a model hallucinates less in knowledge-grounded dia- logue tasks, and has advantages in terms of interpretability and modularity. In particular, it can be used to fuse QA and dialogue systems together to enable dialogue agents to give knowledgeable answers, or QA models to give conversational responses in a zero-shot setting.",1
"Large language models can produce fluent dialogue but often hallucinate factual inaccuracies. While retrieval-augmented models help alleviate this issue, they still face a difficult challenge of both reasoning to provide correct knowledge and generating conversation simultaneously. In this work, we propose a modular model, Knowledge to Response (K2R), for incorporating both of these challenges into a single language model. We show that this model can be used to generate conversational dialogue in a variety of languages, including English, French, German, Italian, Japanese, Korean, Spanish, and Chinese. Our results demonstrate that the model is capable of producing accurate and coherent discourse in all languages.",0
"Crowdsourcing requesters on Amazon Mechanical Turk (AMT) have raised questions about the reliability of the workers. The AMT workforce is very diverse and it is not possible to make blanket assumptions about them as a group. Some requesters now reject work en mass when they do not get the results they expect. This has the effect of giving each worker (good or bad) a lower Human Intelligence Task (HIT) approval score, which is unfair to the good workers. It also has the effect of giving the requester a bad reputation on the workers’ forums. Some of the issues causing the mass rejections stem from the requesters not tak- ing the time to create a well-formed task with complete instructions and/or not paying a fair wage. To explore this assumption, this paper describes a study that looks at the crowdsourc- ing HITs on AMT that were available over a given span of time and records information about those HITs. This study also records in- formation from a crowdsourcing forum on the worker perspective on both those HITs and on their corresponding requesters. Results reveal issues in worker payment and presentation is- sues such as missing instructions or HITs that are not doable.",1
"Crowdsourcing requesters on Amazon Mechanical Turk (AMT) have raised questions about the reliability of the workers. The AMT workforce is very diverse and it is not possible to make blanket assumptions about them as a group. Some requesters now reject work en mass when they do not get the results they are looking for. In response to these concerns, Amazon has announced that it will begin testing a new system that will allow workers to submit their work directly to the company, rather than relying on a third-party requester. Workers will be able to choose whether they want to accept or reject the work, and they will have the option to opt in or out at any time. They will also have access to feedback on the quality of work they receive, as well as the ability to share their experiences with other workers in the same organization. Amazon says that these changes will make it easier for employees to communicate with one another and will help them to improve their performance.",0
