text,#label
"Models of human motion commonly focus either on tra- jectory prediction or action classification but rarely both. The marked heterogeneity and intricate compositionality of human motion render each task vulnerable to the data degradation and distributional shift common to real-world scenarios. A sufficiently expressive generative model of ac- tion could in theory enable data conditioning and distribu- tional resilience within a unified framework applicable to both tasks. Here we propose a novel architecture based on hierarchical variational autoencoders and deep graph con- volutional neural networks for generating a holistic model of action over multiple time-scales. We show this Hierar- chical Graph-convolutional Variational Autoencoder (HG- VAE) to be capable of generating coherent actions, detect- ing out-of-distribution data, and imputing missing data by gradient ascent on the model’s posterior. Trained and eval- uated on H3.6M and the largest collection of open source human motion data, AMASS, we show HG-VAE can facil- itate downstream discriminative learning better than base- line models.",1
"Models of human motion commonly focus either on tra- jectory prediction or action classification but rarely both. The marked heterogeneity and intricate compositionality of human motion render each task vulnerable to the data degradation and distributional shift common to real-world scenarios. A sufficiently expressive generative model of ac- tion could in theory enable data conditioning and distribu- tional resilience within a unified framework applicable to both tasks. Here we propose an approach that incorporates a high level of generative model fusion as well as an additional layer of data-driven generative models. Our approach also incorporates a novel and useful component for classification, which is the extraction of sentence sequences using machine translation ( MMT). In this work, we integrate these approaches and an iterative approach that achieves performance comparable to the previous models. Trained and eval- uated on H3.6M and the largest collection of open source human motion data, AMASS, we show HG-VAE can facil- itate downstream discriminative learning better than base- line models.",0
"Genome engineering is undergoing unprecedented development and is now becoming widely available. To ensure responsible biotechnology innovation and to reduce misuse of engineered DNA sequences, it is vital to develop tools to identify the lab-of- origin of engineered plasmids. Genetic engineering attribution (GEA), the ability to make sequence-lab associations, would support forensic experts in this process. Here, we propose a method, based on metric learning, that ranks the most likely labs-of-origin whilst simultaneously generating embeddings for plasmid sequences and labs. These embeddings can be used to perform various downstream tasks, such as clustering DNA sequences and labs, as well as using them as features in machine learning models. Our approach employs a circular shift augmentation approach and is able to correctly rank the lab-of-origin 90% of the time within its top 10 predictions - outperforming all current state-of-the-art approaches. We also demonstrate that we can perform few-shot-learning and obtain 76% top-10 accuracy using only 10% of the sequences. This means, we outperform the previous CNN approach using only one-tenth of the data. We also demonstrate that we are able to extract key signatures in plasmid sequences for particular labs, allowing for an interpretable examination of the model’s outputs.",1
"Genome engineering is undergoing unprecedented development and is now becoming widely available. To ensure responsible biotechnology innovation and to reduce misuse of engineered DNA sequences, it is vital to develop tools to identify the lab-of- origin of engineered plasmids. Genetic engineering attribution (GEA), the ability to make sequence-lab associations, would support forensic experts in this process. Here, we propose a method, called hybrid genetic engineering, in which hybrid genetic engineering of sequence- labeling elements to generate a hybrid sequence of a gene product from a human sequence and use it to create new sequences. These embeddings can be used to perform various downstream tasks, such as clustering DNA sequences and labs, as well as using them as features in machine learning models. Our approach employs a circular shift augmentation approach and is able to correctly rank the lab-of-origin 90% of the time within its top 10 predictions - outperforming all current state-of-the-art approaches. We also demonstrate that we can perform few-shot-learning and obtain 76% top-10 accuracy using only 10% of the sequences. This means, we outperform the previous CNN approach using only one-tenth of the data. We also demonstrate that we are able to extract key signatures in plasmid sequences for particular labs, allowing for an interpretable examination of the model’s outputs.",0
"In recent years, researchers have made significant progress in devising reinforcement-learning algorithms for optimizing linear temporal logic (LTL) objectives and LTL-like objec- tives. Despite these advancements, there are fundamental lim- itations to how well this problem can be solved that previous studies have alluded to but, to our knowledge, have not ex- amined in depth. In this paper, we address theoretically the hardness of learning with general LTL objectives. We for- malize the problem under the probably approximately correct learning in Markov decision processes (PAC-MDP) frame- work, a standard framework for measuring sample complex- ity in reinforcement learning. In this formalization, we prove that the optimal policy for any LTL formula is PAC-MDP- learnable only if the formula is in the most limited class in the LTL hierarchy, consisting of only finite-horizon-decidable properties. Practically, our result implies that it is impossi- ble for a reinforcement-learning algorithm to obtain a PAC- MDP guarantee on the performance of its learned policy after finitely many interactions with an unconstrained environment for non-finite-horizon-decidable LTL objectives.",1
"In recent years, researchers have made significant progress in devising reinforcement-learning algorithms for optimizing linear temporal logic (LTL) objectives and LTL-like objec- tives. Despite these advancements, there are fundamental lim- itations to how well this problem can be solved that previous studies have alluded to but, to our knowledge, have not ex- amined in depth. In this paper, we propose a framework for building an optimal LTL objective and a method to automatically detect and identify unlabeled words using unigram based approaches. We for- malize the problem under the probably approximately correct learning in Markov decision processes (PAC-MDP) frame- work, a standard framework for measuring sample complex- ity in reinforcement learning. In this formalization, we prove that the optimal policy for any LTL formula is PAC-MDP- learnable only if the formula is in the most limited class in the LTL hierarchy, consisting of only finite-horizon-decidable properties. Practically, our result implies that it is impossi- ble for a reinforcement-learning algorithm to obtain a PAC- MDP guarantee on the performance of its learned policy after finitely many interactions with an unconstrained environment for non-finite-horizon-decidable LTL objectives.",0
"Adversarial examples can easily degrade the clas- sification performance in neural networks. Empirical methods for promoting robustness to such examples have been proposed, but often lack both analytical insights and formal guarantees. Recently, some robustness certificates have appeared in the literature based on system theoretic notions. This work pro- poses an incremental dissipativity-based robustness certificate for neural networks in the form of a linear matrix inequality for each layer. We also propose an equivalent spectral norm bound for this certificate which is scalable to neural networks with multiple layers. We demonstrate the improved performance against adversarial attacks on a feed-forward neural network trained on MNIST and an Alexnet trained using CIFAR-10.",1
"Adversarial examples can easily degrade the clas- sification performance in neural networks. Empirical methods for promoting robustness to such examples have been proposed, but often lack both analytical insights and formal guarantees. Recently, some robustness certificates have appeared in the literature based on system theoretic notions. This work pro- poses a possible solution: if we can produce such a certificate that has robustness and confidence annotations, then we can extract comparable CLAS-style information without relying on the CLAS annotations. We also propose an equivalent spectral norm bound for this certificate which is scalable to neural networks with multiple layers. We demonstrate the improved performance against adversarial attacks on a feed-forward neural network trained on MNIST and an Alexnet trained using CIFAR-10.",0
"This paper makes a first step towards a logic of learning from ex- periments. For this, we investigate formal frameworks for modeling the interaction of causal and (qualitative) epistemic reasoning. Crucial for our approach is the idea that the notion of an intervention can be used as a formal expression of a (real or hypothetical) experiment (Pearl 2009; Woodward 2003). In a first step we extend a causal model (Galles and Pearl 1998; Halpern 2000; Pearl 2009; Briggs 2012) with a simple Hintikka-style representation of the epistemic state of an agent. In the resulting setting, one can talk about the knowledge of an agent and information update. The resulting logic can model reasoning about thought experiments. How- ever, it is unable to account for learning from experiments, which is clearly brought out by the fact that it validates the principle of no learning for interventions. Therefore, in a second step we implement a more complex notion of knowledge (Nozick 1981) that allows an agent to observe (meas- ure) certain variables when an experiment is carried out. This extended system does allow for learning from experiments. For all the proposed logics, we provide a sound and complete axiomatization.",1
"This paper makes a first step towards a logic of learning from ex- periments. For this, we investigate formal frameworks for modeling the interaction of causal and (qualitative) epistemic reasoning. Crucial for our approach is the idea that the notion of an intervention can be used as a formal expression of a (real or hypothetical) experiment (Pearl 2009; Woodward 2003). In a first step we extend a causal model (Galles and Pearl 1998; Halpern 2000; Pearl 2009; Briggs 2012) with a simple Hintikka-style representation of the epistemic state of an agent. In the resulting setting, one can talk about the knowledge of an agent and information update. The resulting logic can model reasoning about thought experiments. How- ever, it is unable to account for learning from experiments, which is clearly brought out by the fact that it validates the principle of no learning for interventions. Therefore, in a second step we implement a more complex notion of knowledge (Nozick 1981) that allows an agent to observe (meas- ure) certain variables when an experiment is carried out. This extended system allows the agent to see certain properties of the experimental conditions and then act accordingly. By modeling the interaction of the relevant variables with the  knowledge of the experimental conditions, the agent can then be able to use knowledge that it has acquired prior to the experiment to perform the experiment.",0
